config,fitness
"[0, 6, 1, 2, 3, 4, 5, 7]",0.077
"[7, 6, 5, 0, 4, 2, 3, 1]",0.091
"[7, 0, 6, 5, 4, 3, 1, 2]",0.111
"[1, 0, 6, 3, 5, 4, 7, 2]",0.111
"[0, 5, 1, 4, 3, 2, 7, 6]",0.111
"[1, 7, 4, 3, 2, 6, 0, 5]",0.111
"[7, 3, 4, 1, 2, 6, 0, 5]",0.111
"[4, 5, 6, 1, 0, 2, 7, 3]",0.125
"[5, 6, 0, 2, 1, 7, 3, 4]",0.125
"[7, 1, 5, 2, 3, 6, 4, 0]",0.125
"[7, 2, 1, 4, 0, 5, 6, 3]",0.143
"[2, 0, 4, 5, 7, 3, 6, 1]",0.143
"[5, 3, 6, 2, 4, 0, 1, 7]",0.143
"[5, 2, 3, 6, 4, 0, 1, 7]",0.143
"[7, 2, 1, 0, 6, 3, 5, 4]",0.143
"[6, 3, 5, 1, 7, 2, 0, 4]",0.143
"[1, 5, 6, 4, 3, 2, 0, 7]",0.143
"[7, 2, 1, 0, 6, 3, 5, 4]",0.143
"[3, 4, 0, 1, 6, 7, 2, 5]",0.143
"[6, 2, 1, 5, 4, 3, 0, 7]",0.143
"[7, 5, 1, 2, 3, 6, 0, 4]",0.143
"[2, 0, 7, 4, 3, 6, 5, 1]",0.143
"[0, 5, 1, 4, 2, 3, 6, 7]",0.167
"[5, 2, 6, 7, 4, 3, 1, 0]",0.167
"[5, 7, 2, 0, 4, 1, 6, 3]",0.167
"[2, 3, 6, 5, 1, 0, 4, 7]",0.167
"[0, 7, 4, 6, 2, 3, 5, 1]",0.167
"[4, 6, 2, 0, 1, 7, 3, 5]",0.167
"[7, 4, 2, 6, 5, 1, 3, 0]",0.167
"[1, 6, 2, 5, 0, 3, 4, 7]",0.200
"[0, 6, 4, 5, 7, 2, 3, 1]",0.200
"[3, 7, 4, 6, 1, 0, 5, 2]",0.200
"[7, 5, 6, 2, 1, 4, 0, 3]",0.200
"[4, 0, 2, 7, 5, 1, 3, 6]",0.200
"[5, 1, 0, 2, 6, 7, 3, 4]",0.200
"[1, 7, 2, 4, 5, 3, 0, 6]",0.200
"[0, 3, 6, 1, 5, 2, 7, 4]",0.250
"[3, 1, 5, 2, 0, 7, 6, 4]",0.250
"[3, 1, 2, 4, 0, 7, 5, 6]",0.250
"[3, 1, 5, 7, 2, 4, 0, 6]",0.250
"[3, 2, 7, 1, 6, 4, 0, 5]",0.250
"[4, 7, 2, 6, 3, 0, 5, 1]",0.250
"[2, 6, 4, 3, 1, 0, 7, 5]",0.250
"[2, 0, 3, 1, 7, 4, 6, 5]",0.250
"[1, 7, 4, 2, 3, 5, 6, 0]",0.250
"[1, 6, 2, 4, 7, 0, 5, 3]",0.250
"[7, 4, 3, 0, 2, 5, 1, 6]",0.333
"[1, 5, 7, 0, 6, 3, 2, 4]",0.333
"[1, 7, 2, 6, 3, 0, 5, 4]",0.333
"[3, 5, 0, 2, 4, 6, 1, 7]",0.500
"[0, 6, 1, 2, 3, 4, 5, 7]",0.077
"[7, 6, 5, 0, 4, 2, 3, 1]",0.091
"[7, 0, 6, 5, 4, 3, 1, 2]",0.111
"[1, 0, 6, 3, 5, 4, 7, 2]",0.111
"[0, 5, 1, 4, 3, 2, 7, 6]",0.111
"[1, 7, 4, 3, 2, 6, 0, 5]",0.111
"[7, 3, 4, 1, 2, 6, 0, 5]",0.111
"[4, 5, 6, 1, 0, 2, 7, 3]",0.125
"[5, 6, 0, 2, 1, 7, 3, 4]",0.125
"[7, 1, 5, 2, 3, 6, 4, 0]",0.125
"[7, 2, 1, 4, 0, 5, 6, 3]",0.143
"[2, 0, 4, 5, 7, 3, 6, 1]",0.143
"[5, 3, 6, 2, 4, 0, 1, 7]",0.143
"[5, 2, 3, 6, 4, 0, 1, 7]",0.143
"[7, 2, 1, 0, 6, 3, 5, 4]",0.143
"[6, 3, 5, 1, 7, 2, 0, 4]",0.143
"[1, 5, 6, 4, 3, 2, 0, 7]",0.143
"[7, 2, 1, 0, 6, 3, 5, 4]",0.143
"[3, 4, 0, 1, 6, 7, 2, 5]",0.143
