populacao,total_cenverg,it_converg,fitmedio
20,0,0,0.500
20,20,61,1.000
20,0,0,0.500
20,20,66,1.000
20,0,0,0.500
20,14,178,0.850
20,20,32,1.000
20,20,106,1.000
20,0,0,0.500
20,20,44,1.000
20,0,0,0.307
20,0,0,0.475
20,0,0,0.500
20,0,0,0.460
20,0,0,0.472
20,18,26,0.917
20,0,0,0.471
20,0,0,0.472
20,0,0,0.485
20,0,0,0.500
20,6,188,0.650
20,20,70,1.000
20,14,95,0.850
20,4,100,0.600
20,3,158,0.575
20,0,0,0.475
20,4,130,0.600
20,5,94,0.625
20,6,211,0.650
20,20,91,1.000
20,5,133,0.592
20,7,124,0.658
20,0,0,0.400
20,2,126,0.550
20,5,173,0.567
20,5,156,0.625
20,10,139,0.750
20,1,191,0.525
20,10,98,0.750
20,6,85,0.650
20,0,0,0.333
20,0,0,0.500
20,20,52,1.000
20,0,0,0.500
20,0,0,0.500
20,20,79,1.000
20,0,0,0.500
20,0,0,0.333
20,0,0,0.500
20,20,53,1.000
20,0,0,0.500
20,0,0,0.367
20,0,0,0.500
20,0,0,0.500
20,0,0,0.500
20,0,0,0.500
20,0,0,0.500
20,0,0,0.500
20,0,0,0.500
20,20,76,1.000
