populacao,total_cenverg,it_converg,fitmedio
20,2,49,0.433
20,0,0,0.475
20,3,20,0.517
20,0,0,0.400
20,0,0,0.425
20,0,0,0.342
20,0,0,0.383
20,1,133,0.433
20,3,45,0.500
20,15,59,0.850
20,6,15,0.632
20,0,0,0.427
20,0,0,0.481
20,4,143,0.550
20,0,0,0.371
20,5,126,0.599
20,0,0,0.338
20,0,0,0.350
20,0,0,0.350
20,6,28,0.585
20,0,0,0.392
20,2,72,0.492
20,2,11,0.475
20,1,109,0.408
20,1,204,0.417
20,2,50,0.500
20,2,82,0.467
20,0,0,0.358
20,2,229,0.492
20,0,0,0.400
20,0,0,0.433
20,2,62,0.508
20,1,97,0.375
20,6,20,0.558
20,0,0,0.467
20,0,0,0.346
20,1,206,0.467
20,3,101,0.500
20,5,92,0.558
20,1,200,0.500
20,0,0,0.450
20,0,0,0.500
20,13,3,0.825
20,8,112,0.700
20,1,169,0.367
20,0,0,0.500
20,0,0,0.392
20,0,0,0.408
20,0,0,0.358
20,0,0,0.433
20,5,47,0.575
20,0,0,0.392
20,0,0,0.383
20,0,0,0.458
20,4,19,0.533
20,0,0,0.383
20,0,0,0.383
20,1,173,0.392
20,0,0,0.392
20,0,0,0.375
