populacao,total_cenverg,it_converg,fitmedio
20,20,35,1.000
20,0,0,0.500
20,0,0,0.500
20,0,0,0.500
20,20,16,1.000
20,0,0,0.500
20,0,0,0.500
20,0,0,0.500
20,0,0,0.500
20,18,49,0.950
20,0,0,0.485
20,0,0,0.500
20,19,174,0.960
20,0,0,0.487
20,18,93,0.932
20,0,0,0.485
20,18,188,0.950
20,0,0,0.487
20,5,220,0.604
20,19,53,0.967
20,8,4,0.700
20,3,128,0.575
20,1,272,0.500
20,0,0,0.500
20,7,56,0.675
20,18,40,0.950
20,1,51,0.525
20,0,0,0.500
20,0,0,0.500
20,14,103,0.850
20,2,135,0.508
20,9,80,0.725
20,5,60,0.625
20,1,28,0.525
20,4,35,0.600
20,0,0,0.492
20,1,269,0.525
20,4,178,0.600
20,8,7,0.700
20,0,0,0.475
20,20,110,1.000
20,20,95,1.000
20,0,0,0.500
20,0,0,0.500
20,0,0,0.500
20,0,0,0.500
20,20,88,1.000
20,20,63,1.000
20,0,0,0.500
20,20,85,1.000
20,2,228,0.550
20,2,134,0.550
20,20,20,1.000
20,6,90,0.650
20,0,0,0.500
20,0,0,0.500
20,20,57,1.000
20,0,0,0.500
20,4,60,0.600
20,2,264,0.550
