config,fitness
"[0, 1, 2, 3, 4, 5, 6, 7]",0.034
"[0, 1, 2, 3, 4, 5, 6, 7]",0.034
"[1, 2, 3, 4, 5, 6, 7, 0]",0.043
"[1, 2, 3, 4, 5, 6, 7, 0]",0.043
"[0, 7, 6, 5, 4, 3, 2, 1]",0.043
"[0, 7, 6, 5, 4, 3, 2, 1]",0.043
"[0, 1, 6, 3, 4, 5, 2, 7]",0.053
"[0, 1, 4, 3, 2, 5, 6, 7]",0.053
"[5, 4, 3, 2, 1, 0, 7, 6]",0.053
"[0, 1, 4, 3, 2, 5, 6, 7]",0.053
"[2, 3, 4, 5, 6, 7, 0, 1]",0.053
"[7, 6, 5, 4, 3, 0, 1, 2]",0.053
"[2, 1, 0, 3, 4, 5, 6, 7]",0.053
"[2, 3, 4, 5, 6, 7, 0, 1]",0.053
"[6, 7, 0, 1, 2, 3, 4, 5]",0.053
"[7, 4, 5, 6, 3, 2, 1, 0]",0.053
"[7, 2, 5, 4, 3, 6, 1, 0]",0.053
"[1, 2, 3, 0, 5, 6, 7, 4]",0.053
"[7, 4, 5, 6, 3, 2, 1, 0]",0.053
"[7, 2, 5, 4, 3, 6, 1, 0]",0.053
"[0, 5, 2, 3, 4, 1, 6, 7]",0.053
"[6, 7, 0, 1, 2, 3, 4, 5]",0.053
"[7, 6, 5, 2, 3, 4, 1, 0]",0.053
"[2, 1, 0, 3, 4, 5, 6, 7]",0.053
"[7, 4, 5, 6, 3, 2, 1, 0]",0.053
"[7, 6, 5, 0, 3, 2, 1, 4]",0.053
"[7, 6, 5, 4, 1, 2, 3, 0]",0.053
"[0, 1, 2, 7, 4, 5, 6, 3]",0.053
"[7, 6, 5, 2, 3, 4, 1, 0]",0.053
"[7, 6, 5, 4, 1, 2, 3, 0]",0.053
"[0, 1, 2, 3, 6, 5, 4, 7]",0.053
"[7, 6, 1, 4, 3, 2, 5, 0]",0.053
"[6, 1, 2, 3, 4, 5, 0, 7]",0.053
