"individuo,fitness"
"0,0.09090909090909091"
"1,0.1"
"2,0.125"
"3,0.125"
"4,0.125"
"5,0.16666666666666666"
"6,0.16666666666666666"
"7,0.16666666666666666"
"8,0.16666666666666666"
"9,0.16666666666666666"
"10,0.16666666666666666"
"11,0.2"
"12,0.2"
"13,0.2"
"14,0.2"
"15,0.25"
"16,0.25"
"17,0.25"
"18,0.25"
"19,0.3333333333333333"
"0,0.125"
"1,0.125"
"2,0.125"
"3,0.16666666666666666"
"4,0.16666666666666666"
"5,0.16666666666666666"
"6,0.16666666666666666"
"7,0.16666666666666666"
"8,0.16666666666666666"
"9,0.2"
"10,0.2"
"11,0.2"
"12,0.2"
"13,0.2"
"14,0.25"
"15,0.25"
"16,0.25"
"17,0.25"
"18,0.25"
"19,0.3333333333333333"
"0,0.125"
"1,0.16666666666666666"
"2,0.16666666666666666"
"3,0.16666666666666666"
"4,0.16666666666666666"
"5,0.16666666666666666"
"6,0.16666666666666666"
"7,0.2"
"8,0.2"
"9,0.2"
"10,0.2"
"11,0.2"
"12,0.2"
"13,0.25"
"14,0.25"
"15,0.25"
"16,0.25"
"17,0.25"
"18,0.25"
"19,0.3333333333333333"
"0,0.16666666666666666"
"1,0.16666666666666666"
"2,0.16666666666666666"
"3,0.16666666666666666"
"4,0.16666666666666666"
"5,0.16666666666666666"
"6,0.16666666666666666"
"7,0.2"
"8,0.2"
"9,0.2"
"10,0.2"
"11,0.2"
"12,0.2"
"13,0.25"
"14,0.25"
"15,0.25"
"16,0.25"
"17,0.25"
"18,0.25"
"19,0.3333333333333333"
"0,0.16666666666666666"
"1,0.16666666666666666"
"2,0.16666666666666666"
"3,0.16666666666666666"
"4,0.16666666666666666"
"5,0.16666666666666666"
"6,0.2"
"7,0.2"
"8,0.2"
"9,0.2"
"10,0.2"
"11,0.2"
"12,0.25"
"13,0.25"
"14,0.25"
"15,0.25"
"16,0.25"
"17,0.25"
"18,0.3333333333333333"
"19,0.5"
"0,0.16666666666666666"
"1,0.16666666666666666"
"2,0.16666666666666666"
"3,0.16666666666666666"
"4,0.16666666666666666"
"5,0.2"
"6,0.2"
"7,0.2"
"8,0.2"
"9,0.2"
"10,0.2"
"11,0.25"
"12,0.25"
"13,0.25"
"14,0.25"
"15,0.25"
"16,0.25"
"17,0.25"
"18,0.3333333333333333"
"19,0.5"
"0,0.16666666666666666"
"1,0.16666666666666666"
"2,0.16666666666666666"
"3,0.2"
"4,0.2"
"5,0.2"
"6,0.2"
"7,0.2"
"8,0.2"
"9,0.25"
"10,0.25"
"11,0.25"
"12,0.25"
"13,0.25"
"14,0.25"
"15,0.25"
"16,0.25"
"17,0.3333333333333333"
"18,0.3333333333333333"
"19,0.5"
"0,0.16666666666666666"
"1,0.16666666666666666"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.2"
"6,0.2"
"7,0.2"
"8,0.25"
"9,0.25"
"10,0.25"
"11,0.25"
"12,0.25"
"13,0.25"
"14,0.25"
"15,0.25"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.3333333333333333"
"19,0.5"
"0,0.16666666666666666"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.2"
"6,0.2"
"7,0.2"
"8,0.25"
"9,0.25"
"10,0.25"
"11,0.25"
"12,0.25"
"13,0.25"
"14,0.25"
"15,0.25"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.3333333333333333"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.2"
"6,0.2"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.25"
"11,0.25"
"12,0.25"
"13,0.25"
"14,0.25"
"15,0.25"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.3333333333333333"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.2"
"6,0.2"
"7,0.25"
"8,0.25"
"9,0.25"
"10,0.25"
"11,0.25"
"12,0.25"
"13,0.25"
"14,0.25"
"15,0.25"
"16,0.3333333333333333"
"17,0.3333333333333333"
"18,0.3333333333333333"
"19,0.5"
"0,0.2"
"1,0.2"
"2,0.2"
"3,0.2"
"4,0.2"
"5,0.2"
"6,0.2"
"7,0.25"
"8,0.25"
"9,0.25"
